area,building,building_floors,chamber,construction_year,floor,market,price,standard,url
58.62,blok,3.0,3,2020.0,1.0,pierwotny,349372.0,do wykończenia,https://www.otodom.pl/oferta/nowe-mieszkanie-dla-rodziny-2-2-ID3XXa4.html#4ad60757c7
92.0,apartamentowiec,2.0,3,1990.0,1.0,wtórny,649000.0,do zamieszkania,https://www.otodom.pl/oferta/ptasie-osiedle-garaz-w-cenie-okna-na-park-ID3XXmQ.html#4ad60757c7
41.34,blok,3.0,2,2020.0,2.0,pierwotny,246632.0,do wykończenia,https://www.otodom.pl/oferta/katowice-premier-park-na-witosa-nowosc-ID3XXdi.html#4ad60757c7
82.28,apartamentowiec,5.0,4,,3.0,pierwotny,560000.0,,https://www.otodom.pl/oferta/nowe-ptasie-spokojna-zielona-okolica-0-pcc-ID3XXC0.html#4ad60757c7
47.7,apartamentowiec,5.0,2,,3.0,pierwotny,325000.0,do wykończenia,https://www.otodom.pl/oferta/zamieszkaj-w-okolicy-parku-i-lasu-nowe-ptasie-ID3XXCQ.html#4ad60757c7
49.0,blok,10.0,3,1985.0,3.0,wtórny,196000.0,do zamieszkania,https://www.otodom.pl/oferta/3-pokoje-katowice-giszowiec-ID3Yb2g.html#afd3a62e18
38.5,apartamentowiec,10.0,2,,5.0,pierwotny,238700.0,do wykończenia,https://www.otodom.pl/oferta/katowice-bazantow-oferta-bezposrednia-ID3Y9u8.html#afd3a62e18
50.0,apartamentowiec,8.0,2,2008.0,4.0,wtórny,420000.0,do zamieszkania,https://www.otodom.pl/oferta/sprzedam-bezposrednio-katowice-debowe-tarasy-ID3Yb5S.html#afd3a62e18
39.0,,3.0,1,,2.0,wtórny,179000.0,,https://www.otodom.pl/oferta/mieszkanie-39-m-katowice-ID3XqUQ.html#0b3ded648d
64.44,apartamentowiec,4.0,3,2019.0,0.0,pierwotny,413190.0,do wykończenia,https://www.otodom.pl/oferta/apartament-z-ogrodkiem-ustawny-i-sloneczny-ID3Y9t6.html#afd3a62e18
50.7,blok,5.0,2,2019.0,2.0,pierwotny,310734.0,do wykończenia,https://www.otodom.pl/oferta/ostatnie-takie-mieszkanie-gotowe-do-oddania-ID3XTnG.html#c235ec822e
71.8,blok,4.0,3,2019.0,4.0,pierwotny,398600.0,do wykończenia,https://www.otodom.pl/oferta/uwaga-ostatnie-mieszkanie-inwestycji-bazantowo-ID3XqVE.html#0b3ded648d
30.0,,,1,,,pierwotny,195000.0,,https://www.otodom.pl/oferta/ostatnie-kawalerki-nowe-ptasie-super-lokalizacja-ID3YQ1G.html#7856e860dd
53.7,blok,4.0,3,,2.0,wtórny,218000.0,do remontu,https://www.otodom.pl/oferta/piotrowice-trzy-pokoje-w-niskim-bloku-ID3Xe1O.html#67a7b321fc
41.0,apartamentowiec,8.0,2,2019.0,5.0,pierwotny,311049.0,do wykończenia,https://www.otodom.pl/oferta/nowoczesny-apartament-2-pok-0-pcc-bez-prowizji-ID3X0L6.html#97ad243daf
42.0,apartamentowiec,10.0,2,2019.0,5.0,pierwotny,222588.0,do wykończenia,https://www.otodom.pl/oferta/nowoczesny-apartament-2-pok-0-pcc-bez-prowizji-ID3X180.html#97ad243daf
49.0,apartamentowiec,10.0,3,2019.0,3.0,pierwotny,256361.0,do wykończenia,https://www.otodom.pl/oferta/luksusowy-apart-najlepsza-lok-0-pcc-i-bez-prow-ID3X0Zy.html#97ad243daf
38.0,apartamentowiec,5.0,2,2019.0,1.0,pierwotny,236691.0,do wykończenia,https://www.otodom.pl/oferta/apartament-2pok-widok-na-las-0-pcc-i-brak-prowizj-ID3X1gU.html#97ad243daf
55.0,apartamentowiec,5.0,3,2019.0,3.0,pierwotny,266750.0,do wykończenia,https://www.otodom.pl/oferta/komfortowy-3-pokojowy-apartament-z-37m2-tarasem-ID3WZkE.html#97ad243daf
55.44,,7.0,3,2020.0,7.0,pierwotny,521136.0,,https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-centrum-katowic-ID3VE5O.html#48d083e427
41.6,apartamentowiec,8.0,2,2019.0,4.0,pierwotny,310000.0,do wykończenia,https://www.otodom.pl/oferta/luksusowy-apartament-w-dolinie-3stawow-ID3VA60.html#48d083e427
73.0,blok,4.0,4,1979.0,4.0,wtórny,430000.0,,https://www.otodom.pl/oferta/przestronne-4-pokojowe-mieszkanie-blisko-centrum-ID3X2re.html#97ad243daf
50.0,apartamentowiec,10.0,2,,,wtórny,385000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-50-m-katowice-ID3VwBu.html#48d083e427
46.0,apartamentowiec,8.0,2,2019.0,1.0,pierwotny,319800.0,do wykończenia,https://www.otodom.pl/oferta/nowoczesny-prestizowy-apartament-tuz-przy-stawie-ID3VA64.html#48d083e427
41.0,,,2,,0.0,wtórny,245000.0,,https://www.otodom.pl/oferta/umeblowanie-w-cenie-ID3VwBS.html#48d083e427
70.7,apartamentowiec,6.0,4,,6.0,pierwotny,636300.0,do wykończenia,https://www.otodom.pl/oferta/lux-apartamentowiec-centrum-stare-ceny-tylko-u-nas-ID3Vs1K.html#d749d73d2a
61.12,apartamentowiec,4.0,3,2019.0,4.0,pierwotny,337994.0,do wykończenia,https://www.otodom.pl/oferta/nowe-rozkladowe-mieszkanie-z-duzym-przedpokojem-ID3Vs5a.html#d749d73d2a
54.05,apartamentowiec,6.0,3,,0.0,pierwotny,475640.0,do wykończenia,https://www.otodom.pl/oferta/bezposrednio-0-pcc-przy-filharmonii-centrum-ID3Vs1S.html#d749d73d2a
48.65,blok,8.0,2,,7.0,wtórny,224000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-48-65-m-katowice-ID3VkR6.html#d749d73d2a
51.0,,3.0,3,,2.0,wtórny,270000.0,,https://www.otodom.pl/oferta/gotowe-mieszkanie-inwestycyjne-ul-bochenskiego-ID3WPkM.html#e679aec94f
50.0,,,3,,0.0,wtórny,231000.0,,https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-z-najemcami-ul-gliwicka-ID3WPLK.html#e679aec94f
39.36,apartamentowiec,8.0,2,2019.0,2.0,pierwotny,291264.0,do wykończenia,https://www.otodom.pl/oferta/apartamenty-na-trzech-stawach-ost-mieszkania-ID3WPO4.html#e679aec94f
91.0,apartamentowiec,5.0,4,,3.0,pierwotny,499500.0,,https://www.otodom.pl/oferta/4pok-z-naroznym-tarasem-przy-parku-slaskim-okazja-ID3WPSI.html#e679aec94f
46.61,,5.0,2,,2.0,pierwotny,258500.0,,https://www.otodom.pl/oferta/park-slaki-2pok-kameralny-budynek-0-prowizji-ID3WPSU.html#e679aec94f
72.0,apartamentowiec,5.0,3,,0.0,pierwotny,394200.0,,https://www.otodom.pl/oferta/3pok-z-ogrodem-oraz-tarasempark-slaskibezposrednio-ID3WPSA.html#e679aec94f
51.5,apartamentowiec,5.0,2,,0.0,pierwotny,277500.0,,https://www.otodom.pl/oferta/2pok-z-ogrodem-przy-parku-slaskimgotowe-w-tym-roku-ID3WPSM.html#e679aec94f
71.0,apartamentowiec,8.0,3,,0.0,wtórny,575000.0,do zamieszkania,https://www.otodom.pl/oferta/francuskapark-gotowy-apartament-z-ogrodemgwarancja-ID3WPTu.html#e679aec94f
96.3,apartamentowiec,2.0,4,2003.0,0.0,wtórny,660000.0,do zamieszkania,https://www.otodom.pl/oferta/apartament-z-wyposazeniem-os-ptasie-ID3WQy4.html#e679aec94f
40.66,apartamentowiec,8.0,2,2019.0,2.0,pierwotny,300884.0,,https://www.otodom.pl/oferta/0-atrakcyjne-mieszkanie-w-modnej-inwestycji-ID3WQKU.html#e679aec94f
70.7,apartamentowiec,7.0,3,2020.0,7.0,pierwotny,636300.0,do wykończenia,https://www.otodom.pl/oferta/srodmiescie-nowa-inwestycja-zaufany-deweloper-ID3WQ5G.html#e679aec94f
58.14,apartamentowiec,7.0,3,2020.0,1.0,pierwotny,465000.0,do wykończenia,https://www.otodom.pl/oferta/srodmiescie-nowa-inwestycja-zaufany-deweloper-ID3WPXV.html#e679aec94f
53.83,apartamentowiec,8.0,3,2019.0,1.0,pierwotny,384884.0,do wykończenia,https://www.otodom.pl/oferta/ostatnie-3-pok-mieszkanie-sprawdzony-deweloper-ID3WQ5S.html#e679aec94f
55.44,apartamentowiec,6.0,3,2020.0,3.0,pierwotny,498960.0,,https://www.otodom.pl/oferta/premiera-inwestycyjny-luksusowy-apartament-ID3WQKY.html#e679aec94f
56.0,blok,10.0,3,,0.0,wtórny,275000.0,do zamieszkania,https://www.otodom.pl/oferta/przestronne-mieszkanie-trzypokojowe-modrzewiowa-ID3WRlC.html#e679aec94f
71.0,apartamentowiec,3.0,3,2005.0,0.0,wtórny,700000.0,do zamieszkania,https://www.otodom.pl/oferta/os-ptasie-trzy-pokoje-kominek-dwa-garaze-taras-ID3Pv6A.html#e679aec94f
